2022-04-27 19:31:35 status unpacked libc-bin:armhf 2.27-3ubuntu1
2022-04-27 19:31:35 upgrade libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2022-04-27 19:31:35 status half-configured libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:35 status unpacked libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:35 status half-installed libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:36 status half-installed libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:36 status unpacked libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:36 status unpacked libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:36 install libcap-ng0:armhf <none> 0.7.7-3.1
2022-04-27 19:31:36 status half-installed libcap-ng0:armhf 0.7.7-3.1
2022-04-27 19:31:36 status unpacked libcap-ng0:armhf 0.7.7-3.1
2022-04-27 19:31:36 status unpacked libcap-ng0:armhf 0.7.7-3.1
2022-04-27 19:31:36 install libcom-err2:armhf <none> 1.44.1-1
2022-04-27 19:31:36 status half-installed libcom-err2:armhf 1.44.1-1
2022-04-27 19:31:36 status unpacked libcom-err2:armhf 1.44.1-1
2022-04-27 19:31:36 status unpacked libcom-err2:armhf 1.44.1-1
2022-04-27 19:31:36 install libdb5.3:armhf <none> 5.3.28-13.1ubuntu1
2022-04-27 19:31:36 status half-installed libdb5.3:armhf 5.3.28-13.1ubuntu1
2022-04-27 19:31:36 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2022-04-27 19:31:36 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2022-04-27 19:31:37 install libdebconfclient0:armhf <none> 0.213ubuntu1
2022-04-27 19:31:37 status half-installed libdebconfclient0:armhf 0.213ubuntu1
2022-04-27 19:31:37 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2022-04-27 19:31:37 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2022-04-27 19:31:37 install libext2fs2:armhf <none> 1.44.1-1
2022-04-27 19:31:37 status half-installed libext2fs2:armhf 1.44.1-1
2022-04-27 19:31:37 status unpacked libext2fs2:armhf 1.44.1-1
2022-04-27 19:31:37 status unpacked libext2fs2:armhf 1.44.1-1
2022-04-27 19:31:37 install libfdisk1:armhf <none> 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 status half-installed libfdisk1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 install libgcc1:armhf <none> 1:8-20180414-1ubuntu2
2022-04-27 19:31:37 status half-installed libgcc1:armhf 1:8-20180414-1ubuntu2
2022-04-27 19:31:37 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2022-04-27 19:31:37 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2022-04-27 19:31:37 install libgcrypt20:armhf <none> 1.8.1-4ubuntu1
2022-04-27 19:31:37 status half-installed libgcrypt20:armhf 1.8.1-4ubuntu1
2022-04-27 19:31:37 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2022-04-27 19:31:37 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2022-04-27 19:31:37 install libgpg-error0:armhf <none> 1.27-6
2022-04-27 19:31:37 status half-installed libgpg-error0:armhf 1.27-6
2022-04-27 19:31:37 status unpacked libgpg-error0:armhf 1.27-6
2022-04-27 19:31:37 status unpacked libgpg-error0:armhf 1.27-6
2022-04-27 19:31:37 install liblz4-1:armhf <none> 0.0~r131-2ubuntu3
2022-04-27 19:31:37 status half-installed liblz4-1:armhf 0.0~r131-2ubuntu3
2022-04-27 19:31:37 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2022-04-27 19:31:37 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2022-04-27 19:31:37 install liblzma5:armhf <none> 5.2.2-1.3
2022-04-27 19:31:37 status half-installed liblzma5:armhf 5.2.2-1.3
2022-04-27 19:31:37 status unpacked liblzma5:armhf 5.2.2-1.3
2022-04-27 19:31:37 status unpacked liblzma5:armhf 5.2.2-1.3
2022-04-27 19:31:37 install libmount1:armhf <none> 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 status half-installed libmount1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:37 install libncurses5:armhf <none> 6.1-1ubuntu1
2022-04-27 19:31:37 status half-installed libncurses5:armhf 6.1-1ubuntu1
2022-04-27 19:31:37 status unpacked libncurses5:armhf 6.1-1ubuntu1
2022-04-27 19:31:37 status unpacked libncurses5:armhf 6.1-1ubuntu1
2022-04-27 19:31:37 install libncursesw5:armhf <none> 6.1-1ubuntu1
2022-04-27 19:31:37 status half-installed libncursesw5:armhf 6.1-1ubuntu1
2022-04-27 19:31:37 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2022-04-27 19:31:37 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2022-04-27 19:31:37 install libpam-modules:armhf <none> 1.1.8-3.6ubuntu2
2022-04-27 19:31:37 status half-installed libpam-modules:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:37 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:37 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 install libpam-modules-bin:armhf <none> 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status half-installed libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 install libpam0g:armhf <none> 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status half-installed libpam0g:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2022-04-27 19:31:38 install libpcre3:armhf <none> 2:8.39-9
2022-04-27 19:31:38 status half-installed libpcre3:armhf 2:8.39-9
2022-04-27 19:31:38 status unpacked libpcre3:armhf 2:8.39-9
2022-04-27 19:31:38 status unpacked libpcre3:armhf 2:8.39-9
2022-04-27 19:31:38 install libprocps6:armhf <none> 2:3.3.12-3ubuntu1
2022-04-27 19:31:38 status half-installed libprocps6:armhf 2:3.3.12-3ubuntu1
2022-04-27 19:31:38 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2022-04-27 19:31:38 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2022-04-27 19:31:38 install libselinux1:armhf <none> 2.7-2build2
2022-04-27 19:31:38 status half-installed libselinux1:armhf 2.7-2build2
2022-04-27 19:31:38 status unpacked libselinux1:armhf 2.7-2build2
2022-04-27 19:31:38 status unpacked libselinux1:armhf 2.7-2build2
2022-04-27 19:31:38 install libsemanage-common:all <none> 2.7-2build2
2022-04-27 19:31:38 status half-installed libsemanage-common:all 2.7-2build2
2022-04-27 19:31:38 status unpacked libsemanage-common:all 2.7-2build2
2022-04-27 19:31:38 status unpacked libsemanage-common:all 2.7-2build2
2022-04-27 19:31:38 install libsemanage1:armhf <none> 2.7-2build2
2022-04-27 19:31:38 status half-installed libsemanage1:armhf 2.7-2build2
2022-04-27 19:31:38 status unpacked libsemanage1:armhf 2.7-2build2
2022-04-27 19:31:38 status unpacked libsemanage1:armhf 2.7-2build2
2022-04-27 19:31:38 install libsepol1:armhf <none> 2.7-1
